code	first_name	last_name	city	age
3537	James	Jefferson	Dover	32
293	   Chester	VanBuren	Pierre	51
1914	Thomas	Harrison	Annapolis	26
4137	George	Eisenhower	Olympia	43
5319	Theodore	Truman	DesMoines	57
9488	Richard	Tyler	Trenton	59
9969	Benjamin	Coolidge	Boston	26
1449	Lyndon	Johnson	Charleston	28
1931	Woodrow	Polk	Indianapolis	52
3151	Harry	Johnson	Hartford	59
2300	Harry	Johnson	CarsonCity	46
6684	George	Johnson	Sacramento	24
3173	Chester	Fillmore	Annapolis	50
5804	Lyndon	Buchanan	Honolulu	57
9868	Thomas	Tyler	Charleston	31
6191	Richard	Reagan	Charleston	52
9900	George	Johnson	BatonRouge	39
5275	Jimmy	Fillmore	Lincoln	61
962	    Warren	Monroe	Nashville	33
7557	James	Eisenhower	Providence	36
7456	Ronald	Harrison	Frankfort	44
6171	Ulysses	Grant	LittleRock	51
8743	Millard	Adams	Lansing	30
3069	Gerald	Johnson	Olympia	33
6436	Richard	Fillmore	Salem	60
9799	Ronald	Wilson	Springfield	38
3708	James	Adams	Boston	38
6965	Andrew	Jefferson	Albany	23
6449	Gerald	Eisenhower	Jackson	33
2169	William	Pierce	Montpelier	36
5239	Rutherford	Cleveland	Jackson	24
4877	Richard	Jefferson	Lincoln	20
3697	Chester	Kennedy	Frankfort	55
9094	George	Hayes	Pierre	52
4144	Theodore	Johnson	Columbia	36
5164	George	Buchanan	Augusta	58
6102	Lyndon	Taylor	Austin	22
5087	Franklin	Lincoln	LittleRock	38
8730	Theodore	Pierce	Lansing	55
8437	William	Buchanan	JeffersonCity	56
496		George	Reagan	Austin	27
813		Jimmy	Jefferson	Albany	34
303		Harry	Washington	Augusta	32
3525	James	Jefferson	Helena	22
4918	Harry	Coolidge	Sacramento	41
2135	Chester	Lincoln	Boston	32
289		William	Hayes	Frankfort	20
5353	Theodore	Buchanan	SaintPaul	37
5473	Ronald	Clinton	Bismarck	34
2480	Harry	Garfield	Honolulu	41
111		Rutherford	Harrison	Topeka	51
2733	Grover	Tyler	Indianapolis	59
1366	Dwight	Jefferson	Boston	33
9182	Ronald	Grant	CarsonCity	31
6888	Calvin	Jackson	Springfield	46
1976	Thomas	Roosevelt	Austin	37
3754	Zachary	Johnson	Albany	31
3719	Richard	Quincy	Columbus	55
2613	Harry	Arthur	LittleRock	40
5365	Benjamin	Jackson	Springfield	31
3852	Rutherford	Cleveland	SaltLakeCity	30
5381	Richard	Taylor	Bismarck	61
1992	Benjamin	Roosevelt	Annapolis	37
2027	Harry	Ford	Indianapolis	38
3372	Millard	Reagan	Sacramento	65
7736	Warren	Buchanan	Sacramento	64
4361	Herbert	Washington	BatonRouge	54
2567	Ulysses	Garfield	Columbus	64
5795	Andrew	Roosevelt	Olympia	44
7532	Lyndon	Quincy	Juneau	21
8231	William	Arthur	Austin	61
7883	Calvin	Fillmore	Pierre	54
252		William	Johnson	Topeka	46
6145	Ulysses	Jackson	DesMoines	53
2895	Richard	Garfield	Juneau	63
7065	Franklin	Coolidge	Juneau	26
837		Millard	Harrison	Columbia	29
4522	Woodrow	Nixon	Honolulu	22
280		Theodore	Wilson	Hartford	31
8981	Theodore	Buchanan	Denver	46
3042	Thomas	VanBuren	Jackson	60
3742	Chester	Harrison	Boston	64
1711	Abraham	Ford	Salem	27
7208	Herbert	Taylor	Bismarck	54
5739	Ronald	Tyler	JeffersonCity	23
4710	Woodrow	Jackson	Lansing	48
8657	Richard	Grant	SaltLakeCity	46
